Term: 武汉,Count: 2439,TF: 0.02459388,IDF: 1.02975636,TF × IDF: 0.02532570
Term: 群众,Count: 63,TF: 0.00063526,IDF: 2.54386118,TF × IDF: 0.00161602
Term: 学校,Count: 63,TF: 0.00063526,IDF: 3.02098244,TF × IDF: 0.00191912
Term: 妈妈,Count: 63,TF: 0.00063526,IDF: 2.71995244,TF × IDF: 0.00172789
Term: 水平,Count: 63,TF: 0.00063526,IDF: 2.62304243,TF × IDF: 0.00166633
Term: 停运,Count: 63,TF: 0.00063526,IDF: 3.02098244,TF × IDF: 0.00191912
Term: 几十万,Count: 62,TF: 0.00062518,IDF: 2.17588440,TF × IDF: 0.00136032
Term: 取消,Count: 62,TF: 0.00062518,IDF: 2.84489118,TF × IDF: 0.00177857
Term: 防范,Count: 62,TF: 0.00062518,IDF: 2.84489118,TF × IDF: 0.00177857
Term: 打麻将,Count: 62,TF: 0.00062518,IDF: 2.24283119,TF × IDF: 0.00140217
Term: 危险,Count: 62,TF: 0.00062518,IDF: 2.17588440,TF × IDF: 0.00136032
Term: 护士,Count: 62,TF: 0.00062518,IDF: 2.36776992,TF × IDF: 0.00148028
Term: 强大,Count: 62,TF: 0.00062518,IDF: 2.62304243,TF × IDF: 0.00163988
Term: 严重性,Count: 62,TF: 0.00062518,IDF: 3.02098244,TF × IDF: 0.00188866
Term: 晚安,Count: 62,TF: 0.00062518,IDF: 3.32201243,TF × IDF: 0.00207686
Term: 孝感,Count: 61,TF: 0.00061509,IDF: 3.02098244,TF × IDF: 0.00185820
Term: 公司,Count: 61,TF: 0.00061509,IDF: 2.11789245,TF × IDF: 0.00130271
Term: 慌,Count: 60,TF: 0.00060501,IDF: 2.17588440,TF × IDF: 0.00131644
Term: 温州,Count: 60,TF: 0.00060501,IDF: 1.97958975,TF × IDF: 0.00119768
Term: 超,Count: 60,TF: 0.00060501,IDF: 2.14592117,TF × IDF: 0.00129831
Term: 大规模,Count: 60,TF: 0.00060501,IDF: 3.32201243,TF × IDF: 0.00200986
Term: 运营商,Count: 60,TF: 0.00060501,IDF: 3.32201243,TF × IDF: 0.00200986
Term: 气死我了,Count: 59,TF: 0.00059493,IDF: 2.47691439,TF × IDF: 0.00147359
Term: 提供,Count: 59,TF: 0.00059493,IDF: 2.32201243,TF × IDF: 0.00138143
Term: 天津,Count: 59,TF: 0.00059493,IDF: 2.06673993,TF × IDF: 0.00122956
Term: 勤洗手,Count: 59,TF: 0.00059493,IDF: 2.32201243,TF × IDF: 0.00138143
Term: 周边,Count: 59,TF: 0.00059493,IDF: 2.54386118,TF × IDF: 0.00151342
Term: 伤害,Count: 59,TF: 0.00059493,IDF: 2.62304243,TF × IDF: 0.00156053
Term: 呆,Count: 59,TF: 0.00059493,IDF: 2.84489118,TF × IDF: 0.00169251
Term: 检查,Count: 59,TF: 0.00059493,IDF: 3.02098244,TF × IDF: 0.00179727
Term: 越,Count: 59,TF: 0.00059493,IDF: 1.99979314,TF × IDF: 0.00118974
Term: 确实,Count: 58,TF: 0.00058484,IDF: 2.54386118,TF × IDF: 0.00148777
Term: 重灾区,Count: 58,TF: 0.00058484,IDF: 2.02098244,TF × IDF: 0.00118196
Term: 穿,Count: 58,TF: 0.00058484,IDF: 2.20806908,TF × IDF: 0.00129138
Term: 越来越好,Count: 58,TF: 0.00058484,IDF: 2.84489118,TF × IDF: 0.00166383
Term: 华南,Count: 58,TF: 0.00058484,IDF: 2.54386118,TF × IDF: 0.00148777
Term: 年轻人,Count: 58,TF: 0.00058484,IDF: 3.02098244,TF × IDF: 0.00176681
Term: 三大,Count: 58,TF: 0.00058484,IDF: 3.32201243,TF × IDF: 0.00194287
Term: 社会效益,Count: 58,TF: 0.00058484,IDF: 3.32201243,TF × IDF: 0.00194287
Term: 难,Count: 57,TF: 0.00057476,IDF: 1.34428883,TF × IDF: 0.00077264
Term: 21,Count: 57,TF: 0.00057476,IDF: 2.54386118,TF × IDF: 0.00146212
Term: 海鲜,Count: 57,TF: 0.00057476,IDF: 2.62304243,TF × IDF: 0.00150763
Term: 归来,Count: 57,TF: 0.00057476,IDF: 2.84489118,TF × IDF: 0.00163514
Term: 通道,Count: 56,TF: 0.00056468,IDF: 2.41892245,TF × IDF: 0.00136592
Term: 收到,Count: 56,TF: 0.00056468,IDF: 2.32201243,TF × IDF: 0.00131119
Term: 同胞,Count: 56,TF: 0.00056468,IDF: 2.28061975,TF × IDF: 0.00128782
Term: 24,Count: 56,TF: 0.00056468,IDF: 2.47691439,TF × IDF: 0.00139866
Term: 没事,Count: 56,TF: 0.00056468,IDF: 2.62304243,TF × IDF: 0.00148118
Term: 17,Count: 56,TF: 0.00056468,IDF: 2.36776992,TF × IDF: 0.00133703
Term: 战胜,Count: 56,TF: 0.00056468,IDF: 2.47691439,TF × IDF: 0.00139866
Term: 发国难财,Count: 55,TF: 0.00055459,IDF: 2.32201243,TF × IDF: 0.00128778
Term: ❓,Count: 55,TF: 0.00055459,IDF: 2.32201243,TF × IDF: 0.00128778
Term: 能力,Count: 55,TF: 0.00055459,IDF: 2.20806908,TF × IDF: 0.00122458
Term: 人流,Count: 55,TF: 0.00055459,IDF: 2.71995244,TF × IDF: 0.00150847
Term: 众志成城,Count: 55,TF: 0.00055459,IDF: 2.41892245,TF × IDF: 0.00134152
Term: 结束,Count: 55,TF: 0.00055459,IDF: 2.17588440,TF × IDF: 0.00120674
Term: 担心,Count: 55,TF: 0.00055459,IDF: 2.28061975,TF × IDF: 0.00126482
Term: 差,Count: 55,TF: 0.00055459,IDF: 2.36776992,TF × IDF: 0.00131315
Term: 字,Count: 55,TF: 0.00055459,IDF: 1.03197782,TF × IDF: 0.00057233
Term: 开心,Count: 55,TF: 0.00055459,IDF: 2.84489118,TF × IDF: 0.00157776
Term: 贡献,Count: 55,TF: 0.00055459,IDF: 2.62304243,TF × IDF: 0.00145473
Term: 书记,Count: 54,TF: 0.00054451,IDF: 2.24283119,TF × IDF: 0.00122125
Term: 协和,Count: 54,TF: 0.00054451,IDF: 1.97958975,TF × IDF: 0.00107791
Term: 监督,Count: 54,TF: 0.00054451,IDF: 1.99979314,TF × IDF: 0.00108891
Term: 疑似,Count: 54,TF: 0.00054451,IDF: 2.11789245,TF × IDF: 0.00115322
Term: 更新,Count: 54,TF: 0.00054451,IDF: 2.32201243,TF × IDF: 0.00126436
Term: 东北,Count: 54,TF: 0.00054451,IDF: 2.62304243,TF × IDF: 0.00142828
Term: 幸福,Count: 54,TF: 0.00054451,IDF: 2.71995244,TF × IDF: 0.00148105
Term: 三山,Count: 54,TF: 0.00054451,IDF: 1.94180119,TF × IDF: 0.00105733
Term: 齐聚克,Count: 54,TF: 0.00054451,IDF: 1.96028460,TF × IDF: 0.00106740
Term: 共渡难关,Count: 54,TF: 0.00054451,IDF: 2.17588440,TF × IDF: 0.00118479
Term: 历史,Count: 54,TF: 0.00054451,IDF: 2.32201243,TF × IDF: 0.00126436
Term: 总理,Count: 54,TF: 0.00054451,IDF: 2.54386118,TF × IDF: 0.00138516
Term: 流入,Count: 54,TF: 0.00054451,IDF: 3.32201243,TF × IDF: 0.00180888
Term: 小题大做,Count: 54,TF: 0.00054451,IDF: 3.32201243,TF × IDF: 0.00180888
Term: 人民日报,Count: 54,TF: 0.00054451,IDF: 3.32201243,TF × IDF: 0.00180888
Term: 收,Count: 53,TF: 0.00053443,IDF: 1.79053352,TF × IDF: 0.00095691
Term: 数量,Count: 53,TF: 0.00053443,IDF: 2.62304243,TF × IDF: 0.00140183
Term: 解决,Count: 53,TF: 0.00053443,IDF: 2.24283119,TF × IDF: 0.00119863
Term: 专业,Count: 53,TF: 0.00053443,IDF: 2.84489118,TF × IDF: 0.00152039
Term: 排查,Count: 53,TF: 0.00053443,IDF: 2.71995244,TF × IDF: 0.00145362
Term: 2003,Count: 53,TF: 0.00053443,IDF: 2.36776992,TF × IDF: 0.00126540
Term: 急需,Count: 52,TF: 0.00052434,IDF: 2.09156351,TF × IDF: 0.00109670
Term: 总,Count: 52,TF: 0.00052434,IDF: 1.84489118,TF × IDF: 0.00096736
Term: 造假,Count: 52,TF: 0.00052434,IDF: 2.84489118,TF × IDF: 0.00149170
Term: 延期,Count: 52,TF: 0.00052434,IDF: 2.02098244,TF × IDF: 0.00105969
Term: 复工,Count: 52,TF: 0.00052434,IDF: 1.92407242,TF × IDF: 0.00100888
Term: 海外,Count: 52,TF: 0.00052434,IDF: 1.99979314,TF × IDF: 0.00104858
Term: 战争,Count: 52,TF: 0.00052434,IDF: 2.41892245,TF × IDF: 0.00126835
Term: 顺丰,Count: 52,TF: 0.00052434,IDF: 2.14592117,TF × IDF: 0.00112520
Term: 路,Count: 52,TF: 0.00052434,IDF: 1.92407242,TF × IDF: 0.00100888
Term: 起码,Count: 52,TF: 0.00052434,IDF: 2.71995244,TF × IDF: 0.00142619
Term: 90,Count: 52,TF: 0.00052434,IDF: 3.02098244,TF × IDF: 0.00158404
Term: ⃣,Count: 52,TF: 0.00052434,IDF: 3.32201243,TF × IDF: 0.00174188
Term: 不去,Count: 52,TF: 0.00052434,IDF: 2.47691439,TF × IDF: 0.00129876
Term: 参与,Count: 51,TF: 0.00051426,IDF: 2.54386118,TF × IDF: 0.00130821
Term: 抗击,Count: 51,TF: 0.00051426,IDF: 2.41892245,TF × IDF: 0.00124396
Term: 13,Count: 51,TF: 0.00051426,IDF: 2.28061975,TF × IDF: 0.00117283
Term: 行,Count: 51,TF: 0.00051426,IDF: 1.44695117,TF × IDF: 0.00074411
Term: 面前,Count: 51,TF: 0.00051426,IDF: 2.62304243,TF × IDF: 0.00134893
Term: 家庭,Count: 51,TF: 0.00051426,IDF: 2.47691439,TF × IDF: 0.00127378
Term: 无辜,Count: 51,TF: 0.00051426,IDF: 2.84489118,TF × IDF: 0.00146302
Term: 病情,Count: 51,TF: 0.00051426,IDF: 2.36776992,TF × IDF: 0.00121765
Term: 消毒,Count: 51,TF: 0.00051426,IDF: 2.24283119,TF × IDF: 0.00115340
Term: 视频,Count: 51,TF: 0.00051426,IDF: 2.71995244,TF × IDF: 0.00139877
Term: 人大代表,Count: 51,TF: 0.00051426,IDF: 3.32201243,TF × IDF: 0.00170838
Term: 百亿,Count: 51,TF: 0.00051426,IDF: 3.32201243,TF × IDF: 0.00170838
Term: 小时,Count: 50,TF: 0.00050417,IDF: 2.71995244,TF × IDF: 0.00137134
Term: 台湾,Count: 50,TF: 0.00050417,IDF: 2.54386118,TF × IDF: 0.00128256
Term: 瞒报,Count: 50,TF: 0.00050417,IDF: 2.36776992,TF × IDF: 0.00119378
Term: 关系,Count: 50,TF: 0.00050417,IDF: 2.47691439,TF × IDF: 0.00124880
Term: 中华,Count: 50,TF: 0.00050417,IDF: 2.32201243,TF × IDF: 0.00117071
Term: 乱,Count: 50,TF: 0.00050417,IDF: 1.84489118,TF × IDF: 0.00093015
Term: 帮忙,Count: 50,TF: 0.00050417,IDF: 2.36776992,TF × IDF: 0.00119378
Term: 一例,Count: 50,TF: 0.00050417,IDF: 2.62304243,TF × IDF: 0.00132248
Term: 一级,Count: 50,TF: 0.00050417,IDF: 3.02098244,TF × IDF: 0.00152311
Term: 不负,Count: 50,TF: 0.00050417,IDF: 3.02098244,TF × IDF: 0.00152311
Term: 质监局,Count: 50,TF: 0.00050417,IDF: 3.32201243,TF × IDF: 0.00167489
Term: 假冒伪劣,Count: 50,TF: 0.00050417,IDF: 3.32201243,TF × IDF: 0.00167489
Term: 数年,Count: 50,TF: 0.00050417,IDF: 3.32201243,TF × IDF: 0.00167489
Term: 封口,Count: 50,TF: 0.00050417,IDF: 3.32201243,TF × IDF: 0.00167489
Term: 睡觉,Count: 49,TF: 0.00049409,IDF: 2.41892245,TF × IDF: 0.00119518
Term: 抓,Count: 49,TF: 0.00049409,IDF: 2.71995244,TF × IDF: 0.00134391
Term: 分配,Count: 49,TF: 0.00049409,IDF: 2.20806908,TF × IDF: 0.00109099
Term: 代表,Count: 49,TF: 0.00049409,IDF: 2.71995244,TF × IDF: 0.00134391
Term: 照顾,Count: 49,TF: 0.00049409,IDF: 2.36776992,TF × IDF: 0.00116990
Term: 打击,Count: 49,TF: 0.00049409,IDF: 2.71995244,TF × IDF: 0.00134391
Term: 思想,Count: 49,TF: 0.00049409,IDF: 3.32201243,TF × IDF: 0.00164139
Term: 不配,Count: 48,TF: 0.00048401,IDF: 2.54386118,TF × IDF: 0.00123126
Term: 辟谣,Count: 48,TF: 0.00048401,IDF: 3.02098244,TF × IDF: 0.00146219
Term: 线,Count: 48,TF: 0.00048401,IDF: 1.39773315,TF × IDF: 0.00067652
Term: 信阳,Count: 48,TF: 0.00048401,IDF: 2.41892245,TF × IDF: 0.00117078
Term: 两天,Count: 48,TF: 0.00048401,IDF: 2.41892245,TF × IDF: 0.00117078
Term: 死亡,Count: 48,TF: 0.00048401,IDF: 2.71995244,TF × IDF: 0.00131649
Term: 外出,Count: 48,TF: 0.00048401,IDF: 2.62304243,TF × IDF: 0.00126958
Term: 钟南山院士,Count: 48,TF: 0.00048401,IDF: 3.02098244,TF × IDF: 0.00146219
Term: 老年人,Count: 48,TF: 0.00048401,IDF: 3.02098244,TF × IDF: 0.00146219
Term: 节目,Count: 48,TF: 0.00048401,IDF: 3.02098244,TF × IDF: 0.00146219
Term: 听不进去,Count: 48,TF: 0.00048401,IDF: 3.32201243,TF × IDF: 0.00160789
Term: 好开心,Count: 48,TF: 0.00048401,IDF: 3.32201243,TF × IDF: 0.00160789
Term: 市长,Count: 47,TF: 0.00047392,IDF: 2.47691439,TF × IDF: 0.00117388
Term: 劝,Count: 47,TF: 0.00047392,IDF: 2.47691439,TF × IDF: 0.00117388
Term: 一群,Count: 47,TF: 0.00047392,IDF: 2.54386118,TF × IDF: 0.00120560
Term: 觉悟,Count: 47,TF: 0.00047392,IDF: 2.62304243,TF × IDF: 0.00124313
Term: 关乎,Count: 47,TF: 0.00047392,IDF: 2.62304243,TF × IDF: 0.00124313
Term: 更好,Count: 47,TF: 0.00047392,IDF: 2.71995244,TF × IDF: 0.00128906
Term: 太快,Count: 47,TF: 0.00047392,IDF: 2.62304243,TF × IDF: 0.00124313
Term: 名字,Count: 47,TF: 0.00047392,IDF: 2.84489118,TF × IDF: 0.00134827
Term: 民族,Count: 47,TF: 0.00047392,IDF: 2.84489118,TF × IDF: 0.00134827
Term: 开车,Count: 47,TF: 0.00047392,IDF: 3.32201243,TF × IDF: 0.00157439
Term: 沧州,Count: 47,TF: 0.00047392,IDF: 3.32201243,TF × IDF: 0.00157439
Term: 负责人,Count: 46,TF: 0.00046384,IDF: 2.04325883,TF × IDF: 0.00094775
Term: 酒精,Count: 46,TF: 0.00046384,IDF: 2.17588440,TF × IDF: 0.00100927
Term: 关心,Count: 46,TF: 0.00046384,IDF: 2.41892245,TF × IDF: 0.00112200
Term: 白衣天使,Count: 46,TF: 0.00046384,IDF: 2.62304243,TF × IDF: 0.00121668
Term: 居家,Count: 46,TF: 0.00046384,IDF: 2.47691439,TF × IDF: 0.00114890
Term: 横批,Count: 46,TF: 0.00046384,IDF: 2.11789245,TF × IDF: 0.00098237
Term: biss,Count: 46,TF: 0.00046384,IDF: 2.62304243,TF × IDF: 0.00121668
Term: 保证,Count: 46,TF: 0.00046384,IDF: 2.84489118,TF × IDF: 0.00131958
Term: 团拜会,Count: 46,TF: 0.00046384,IDF: 3.32201243,TF × IDF: 0.00154089
Term: 快乐,Count: 46,TF: 0.00046384,IDF: 3.32201243,TF × IDF: 0.00154089
Term: 程度,Count: 45,TF: 0.00045376,IDF: 2.41892245,TF × IDF: 0.00109761
Term: 想要,Count: 45,TF: 0.00045376,IDF: 3.02098244,TF × IDF: 0.00137080
Term: 增长,Count: 45,TF: 0.00045376,IDF: 2.24283119,TF × IDF: 0.00101771
Term: 速度,Count: 45,TF: 0.00045376,IDF: 2.20806908,TF × IDF: 0.00100193
Term: 憨,Count: 45,TF: 0.00045376,IDF: 2.06673993,TF × IDF: 0.00093780
Term: 地铁,Count: 45,TF: 0.00045376,IDF: 2.36776992,TF × IDF: 0.00107440
Term: 损失,Count: 45,TF: 0.00045376,IDF: 2.17588440,TF × IDF: 0.00098733
Term: 病,Count: 45,TF: 0.00045376,IDF: 1.16064443,TF × IDF: 0.00052665
Term: 健健康康,Count: 45,TF: 0.00045376,IDF: 3.02098244,TF × IDF: 0.00137080
Term: 国外,Count: 45,TF: 0.00045376,IDF: 2.62304243,TF × IDF: 0.00119023
Term: 回去,Count: 45,TF: 0.00045376,IDF: 2.36776992,TF × IDF: 0.00107440
Term: 一人,Count: 45,TF: 0.00045376,IDF: 2.20806908,TF × IDF: 0.00100193
Term: 内蒙,Count: 45,TF: 0.00045376,IDF: 2.47691439,TF × IDF: 0.00112392
Term: 群体,Count: 45,TF: 0.00045376,IDF: 2.84489118,TF × IDF: 0.00129090
Term: 放心,Count: 45,TF: 0.00045376,IDF: 2.71995244,TF × IDF: 0.00123421
Term: 未来,Count: 45,TF: 0.00045376,IDF: 2.84489118,TF × IDF: 0.00129090
Term: 哈哈哈哈,Count: 45,TF: 0.00045376,IDF: 2.47691439,TF × IDF: 0.00112392
Term: 春节假期,Count: 45,TF: 0.00045376,IDF: 3.32201243,TF × IDF: 0.00150740
Term: 详情,Count: 45,TF: 0.00045376,IDF: 3.32201243,TF × IDF: 0.00150740
Term: 比心,Count: 45,TF: 0.00045376,IDF: 3.02098244,TF × IDF: 0.00137080
Term: 拿到,Count: 44,TF: 0.00044367,IDF: 2.11789245,TF × IDF: 0.00093966
Term: 睡,Count: 44,TF: 0.00044367,IDF: 2.14592117,TF × IDF: 0.00095209
Term: 下联,Count: 44,TF: 0.00044367,IDF: 2.11789245,TF × IDF: 0.00093966
Term: 发展,Count: 44,TF: 0.00044367,IDF: 2.54386118,TF × IDF: 0.00112865
Term: 位,Count: 44,TF: 0.00044367,IDF: 1.62304243,TF × IDF: 0.00072010
Term: 教育,Count: 44,TF: 0.00044367,IDF: 2.47691439,TF × IDF: 0.00109895
Term: 途径,Count: 44,TF: 0.00044367,IDF: 2.62304243,TF × IDF: 0.00116378
Term: 儿子,Count: 44,TF: 0.00044367,IDF: 2.84489118,TF × IDF: 0.00126221
Term: 想到,Count: 44,TF: 0.00044367,IDF: 2.36776992,TF × IDF: 0.00105052
Term: 东北三省,Count: 44,TF: 0.00044367,IDF: 3.32201243,TF × IDF: 0.00147390
Term: 保佑,Count: 43,TF: 0.00043359,IDF: 2.62304243,TF × IDF: 0.00113733
Term: 天佑,Count: 43,TF: 0.00043359,IDF: 2.54386118,TF × IDF: 0.00110300
Term: 😷,Count: 43,TF: 0.00043359,IDF: 2.36776992,TF × IDF: 0.00102665
Term: 东营,Count: 43,TF: 0.00043359,IDF: 2.28061975,TF × IDF: 0.00098886
Term: 上联,Count: 43,TF: 0.00043359,IDF: 2.11789245,TF × IDF: 0.00091830
Term: 李兰娟,Count: 43,TF: 0.00043359,IDF: 1.85961444,TF × IDF: 0.00080631
Term: 交通,Count: 43,TF: 0.00043359,IDF: 2.41892245,TF × IDF: 0.00104883
Term: 新型肺炎,Count: 43,TF: 0.00043359,IDF: 2.47691439,TF × IDF: 0.00107397
Term: 善待,Count: 43,TF: 0.00043359,IDF: 2.14592117,TF × IDF: 0.00093045
Term: 不错,Count: 43,TF: 0.00043359,IDF: 2.71995244,TF × IDF: 0.00117935
Term: 有限公司,Count: 43,TF: 0.00043359,IDF: 3.32201243,TF × IDF: 0.00144040
Term: 拿走,Count: 42,TF: 0.00042351,IDF: 2.09156351,TF × IDF: 0.00088579
Term: 市民,Count: 42,TF: 0.00042351,IDF: 2.62304243,TF × IDF: 0.00111088
Term: 简单,Count: 42,TF: 0.00042351,IDF: 2.54386118,TF × IDF: 0.00107735
Term: 成都,Count: 42,TF: 0.00042351,IDF: 2.20806908,TF × IDF: 0.00093514
Term: 可怜,Count: 42,TF: 0.00042351,IDF: 2.54386118,TF × IDF: 0.00107735
Term: 谣言,Count: 42,TF: 0.00042351,IDF: 3.02098244,TF × IDF: 0.00127941
Term: 防疫,Count: 42,TF: 0.00042351,IDF: 2.54386118,TF × IDF: 0.00107735
Term: 治愈,Count: 42,TF: 0.00042351,IDF: 2.28061975,TF × IDF: 0.00096586
Term: 我要,Count: 42,TF: 0.00042351,IDF: 2.71995244,TF × IDF: 0.00115192
Term: 领导班子,Count: 42,TF: 0.00042351,IDF: 2.62304243,TF × IDF: 0.00111088
Term: 稳住,Count: 42,TF: 0.00042351,IDF: 2.17588440,TF × IDF: 0.00092151
Term: 广州,Count: 42,TF: 0.00042351,IDF: 2.32201243,TF × IDF: 0.00098339
Term: 憨批,Count: 42,TF: 0.00042351,IDF: 2.09156351,TF × IDF: 0.00088579
Term: 高铁,Count: 42,TF: 0.00042351,IDF: 2.71995244,TF × IDF: 0.00115192
Term: 职业,Count: 42,TF: 0.00042351,IDF: 2.71995244,TF × IDF: 0.00115192
Term: 力量,Count: 42,TF: 0.00042351,IDF: 2.71995244,TF × IDF: 0.00115192
Term: 15,Count: 42,TF: 0.00042351,IDF: 2.32201243,TF × IDF: 0.00098339
Term: 名,Count: 42,TF: 0.00042351,IDF: 1.96028460,TF × IDF: 0.00083020
Term: 讲,Count: 42,TF: 0.00042351,IDF: 2.41892245,TF × IDF: 0.00102444
Term: 晚上,Count: 42,TF: 0.00042351,IDF: 2.54386118,TF × IDF: 0.00107735
Term: 好看,Count: 42,TF: 0.00042351,IDF: 2.84489118,TF × IDF: 0.00120484
Term: 提示,Count: 42,TF: 0.00042351,IDF: 3.02098244,TF × IDF: 0.00127941
Term: 商家,Count: 42,TF: 0.00042351,IDF: 3.32201243,TF × IDF: 0.00140690
Term: 担忧,Count: 42,TF: 0.00042351,IDF: 3.32201243,TF × IDF: 0.00140690
Term: 鸭,Count: 41,TF: 0.00041342,IDF: 2.84489118,TF × IDF: 0.00117615
Term: 100,Count: 41,TF: 0.00041342,IDF: 2.24283119,TF × IDF: 0.00092724
Term: 航班,Count: 41,TF: 0.00041342,IDF: 2.71995244,TF × IDF: 0.00112450
Term: 歧视,Count: 41,TF: 0.00041342,IDF: 2.41892245,TF × IDF: 0.00100004
Term: 拥有,Count: 41,TF: 0.00041342,IDF: 3.02098244,TF × IDF: 0.00124895
Term: 管理,Count: 41,TF: 0.00041342,IDF: 2.71995244,TF × IDF: 0.00112450
Term: 过后,Count: 41,TF: 0.00041342,IDF: 2.41892245,TF × IDF: 0.00100004
Term: 生命危险,Count: 41,TF: 0.00041342,IDF: 2.62304243,TF × IDF: 0.00108443
Term: 样子,Count: 41,TF: 0.00041342,IDF: 2.71995244,TF × IDF: 0.00112450
Term: 青海,Count: 41,TF: 0.00041342,IDF: 2.62304243,TF × IDF: 0.00108443
Term: 别来,Count: 41,TF: 0.00041342,IDF: 2.84489118,TF × IDF: 0.00117615
Term: 后果,Count: 41,TF: 0.00041342,IDF: 2.84489118,TF × IDF: 0.00117615
Term: 108,Count: 41,TF: 0.00041342,IDF: 2.47691439,TF × IDF: 0.00102402
Term: 电话,Count: 41,TF: 0.00041342,IDF: 2.62304243,TF × IDF: 0.00108443
Term: 奋斗,Count: 41,TF: 0.00041342,IDF: 3.32201243,TF × IDF: 0.00137341
Term: 手中,Count: 40,TF: 0.00040334,IDF: 2.09156351,TF × IDF: 0.00084361
Term: 明星,Count: 40,TF: 0.00040334,IDF: 2.41892245,TF × IDF: 0.00097565
Term: 信,Count: 40,TF: 0.00040334,IDF: 1.40293434,TF × IDF: 0.00056586
Term: 喝,Count: 40,TF: 0.00040334,IDF: 2.47691439,TF × IDF: 0.00099904
Term: 众捐,Count: 40,TF: 0.00040334,IDF: 1.99979314,TF × IDF: 0.00080660
Term: 纷来,Count: 40,TF: 0.00040334,IDF: 1.99979314,TF × IDF: 0.00080660
Term: 隐瞒,Count: 40,TF: 0.00040334,IDF: 2.47691439,TF × IDF: 0.00099904
Term: 媒体,Count: 40,TF: 0.00040334,IDF: 2.84489118,TF × IDF: 0.00114746
Term: 床上,Count: 40,TF: 0.00040334,IDF: 2.47691439,TF × IDF: 0.00099904
Term: 务必,Count: 40,TF: 0.00040334,IDF: 3.02098244,TF × IDF: 0.00121849
Term: 😭,Count: 40,TF: 0.00040334,IDF: 2.62304243,TF × IDF: 0.00105798
Term: 年龄,Count: 40,TF: 0.00040334,IDF: 2.54386118,TF × IDF: 0.00102605
Term: 对不起,Count: 40,TF: 0.00040334,IDF: 2.62304243,TF × IDF: 0.00105798
Term: 建设,Count: 40,TF: 0.00040334,IDF: 2.28061975,TF × IDF: 0.00091987
Term: 就医,Count: 40,TF: 0.00040334,IDF: 3.02098244,TF × IDF: 0.00121849
Term: 爸爸,Count: 40,TF: 0.00040334,IDF: 2.84489118,TF × IDF: 0.00114746
Term: 换,Count: 40,TF: 0.00040334,IDF: 2.71995244,TF × IDF: 0.00109707
Term: 警察,Count: 40,TF: 0.00040334,IDF: 2.84489118,TF × IDF: 0.00114746
Term: 平时,Count: 40,TF: 0.00040334,IDF: 2.84489118,TF × IDF: 0.00114746
Term: 逃离,Count: 40,TF: 0.00040334,IDF: 3.02098244,TF × IDF: 0.00121849
Term: 哄抬物价,Count: 40,TF: 0.00040334,IDF: 2.71995244,TF × IDF: 0.00109707
Term: 基层,Count: 40,TF: 0.00040334,IDF: 2.84489118,TF × IDF: 0.00114746
Term: 可不可以,Count: 40,TF: 0.00040334,IDF: 3.32201243,TF × IDF: 0.00133991
Term: 放假,Count: 40,TF: 0.00040334,IDF: 3.32201243,TF × IDF: 0.00133991
Term: 韶华,Count: 40,TF: 0.00040334,IDF: 3.32201243,TF × IDF: 0.00133991
Term: 任丘市,Count: 40,TF: 0.00040334,IDF: 3.32201243,TF × IDF: 0.00133991
Term: 伟阔,Count: 40,TF: 0.00040334,IDF: 3.32201243,TF × IDF: 0.00133991
Term: N95,Count: 39,TF: 0.00039326,IDF: 2.47691439,TF × IDF: 0.00097407
Term: 加紧,Count: 39,TF: 0.00039326,IDF: 2.17588440,TF × IDF: 0.00085568
Term: 初七,Count: 39,TF: 0.00039326,IDF: 2.47691439,TF × IDF: 0.00097407
Term: 抄作业,Count: 39,TF: 0.00039326,IDF: 2.71995244,TF × IDF: 0.00106964
Term: 大省,Count: 39,TF: 0.00039326,IDF: 2.54386118,TF × IDF: 0.00100039
Term: 黄冈,Count: 39,TF: 0.00039326,IDF: 2.54386118,TF × IDF: 0.00100039
Term: 明白,Count: 39,TF: 0.00039326,IDF: 2.47691439,TF × IDF: 0.00097407
Term: 通途,Count: 39,TF: 0.00039326,IDF: 2.02098244,TF × IDF: 0.00079477
Term: 告急,Count: 39,TF: 0.00039326,IDF: 2.47691439,TF × IDF: 0.00097407
Term: 紧急,Count: 39,TF: 0.00039326,IDF: 2.71995244,TF × IDF: 0.00106964
Term: 号线,Count: 39,TF: 0.00039326,IDF: 3.02098244,TF × IDF: 0.00118803
Term: 骄傲,Count: 39,TF: 0.00039326,IDF: 3.02098244,TF × IDF: 0.00118803
Term: 牛逼,Count: 39,TF: 0.00039326,IDF: 2.41892245,TF × IDF: 0.00095126
Term: 性,Count: 39,TF: 0.00039326,IDF: 1.87485440,TF × IDF: 0.00073730
Term: 添乱,Count: 39,TF: 0.00039326,IDF: 2.54386118,TF × IDF: 0.00100039
Term: 持续,Count: 39,TF: 0.00039326,IDF: 3.02098244,TF × IDF: 0.00118803
Term: 病毒感染,Count: 39,TF: 0.00039326,IDF: 2.71995244,TF × IDF: 0.00106964
Term: 人生,Count: 39,TF: 0.00039326,IDF: 2.84489118,TF × IDF: 0.00111878
Term: 小孩,Count: 39,TF: 0.00039326,IDF: 3.32201243,TF × IDF: 0.00130641
Term: 几百几千,Count: 38,TF: 0.00038317,IDF: 2.11789245,TF × IDF: 0.00081152
